,run_id,glacier_id,start_date_str,end_date_str
0,Belart - SEAS,RGI60-11.01827,2011-09-16,2017-09-16
1,Belart - SEAS,RGI60-11.01797,2011-09-16,2017-09-16
2,Belart - SEAS,RGI60-11.01698,2011-09-16,2017-09-16
3,Belart - SEAS,RGI60-11.01450,2011-09-16,2017-09-16
4,Belart - SEAS,RGI60-11.01346,2011-09-16,2017-09-16
5,Berthier - SEAS,RGI60-11.01450,2011-09-13,2017-09-21
6,Berthier - SEAS,RGI60-11.01346,2011-09-13,2017-09-21
7,Berthier - SEAS,RGI60-11.01698,2011-09-13,2017-09-21
8,Berthier - SEAS,RGI60-11.01797,2011-09-13,2017-09-21
9,Berthier - SEAS,RGI60-11.01827,2011-09-13,2017-09-21
10,Dehecq - CTL,RGI60-11.01346,2012-09-23,2016-09-02
11,Dehecq - CTL,RGI60-11.01450,2012-09-23,2016-09-02
12,Dehecq - CTL,RGI60-11.01698,2012-09-23,2016-09-02
13,Dehecq - CTL,RGI60-11.01797,2012-09-23,2016-09-02
14,Dehecq - CTL,RGI60-11.01827,2012-09-23,2016-09-02
15,Dehecq - CTL,RGI60-11.01346,2012-08-22,2016-09-25
16,Dehecq - CTL,RGI60-11.01450,2012-08-22,2016-09-25
17,Dehecq - CTL,RGI60-11.01698,2012-08-22,2016-09-25
18,Dehecq - CTL,RGI60-11.01797,2012-08-22,2016-09-25
19,Dehecq - CTL,RGI60-11.01827,2012-08-22,2016-09-25
20,Dehecq - CTL,RGI60-11.01346,2000-12-11,2021-06-12
21,Dehecq - CTL,RGI60-11.01450,2000-12-11,2021-06-12
22,Dehecq - CTL,RGI60-11.01698,2000-12-11,2021-06-12
23,Dehecq - CTL,RGI60-11.01797,2000-12-11,2021-06-12
24,Dehecq - CTL,RGI60-11.01827,2000-12-11,2021-06-12
25,Dehecq - CTL,RGI60-11.01346,2011-03-20,2018-09-15
26,Dehecq - CTL,RGI60-11.01450,2011-03-20,2018-09-15
27,Dehecq - CTL,RGI60-11.01698,2011-03-20,2018-09-15
28,Dehecq - CTL,RGI60-11.01797,2011-03-20,2018-09-15
29,Dehecq - CTL,RGI60-11.01827,2011-03-20,2018-09-15
30,Dussaillant - SEAS,RGI60-11.01450,2011-09-30,2017-09-30
31,Dussaillant - SEAS,RGI60-11.01346,2011-09-30,2017-09-30
32,Dussaillant - SEAS,RGI60-11.01698,2011-09-30,2017-09-30
33,Dussaillant - SEAS,RGI60-11.01797,2011-09-30,2017-09-30
34,Dussaillant - SEAS,RGI60-11.01827,2011-09-30,2017-09-30
35,Florentine - CTL,RGI60-11.01346,2011-09-23,2017-09-22
36,Florentine - CTL,RGI60-11.01450,2011-09-23,2017-09-22
37,Florentine - CTL,RGI60-11.01698,2011-09-23,2017-09-22
38,Florentine - CTL,RGI60-11.01797,2011-09-23,2017-09-22
39,Florentine - CTL,RGI60-11.01827,2011-09-23,2017-09-22
40,Hugonnet - CTL,RGI60-11.01346,2011-09-01,2017-09-01
41,Hugonnet - CTL,RGI60-11.01450,2011-09-01,2017-09-01
42,Hugonnet - CTL,RGI60-11.01698,2011-09-01,2017-09-01
43,Hugonnet - CTL,RGI60-11.01797,2011-09-01,2017-09-01
44,Hugonnet - CTL,RGI60-11.01827,2011-09-01,2017-09-01
45,Krieger - COPERNICUS,RGI60-11.01346,2011-08-21,2018-01-03
46,Krieger - COPERNICUS,RGI60-11.01450,2011-08-21,2018-01-03
47,Krieger - COPERNICUS,RGI60-11.01698,2011-08-21,2018-01-03
48,Krieger - COPERNICUS,RGI60-11.01797,2011-08-21,2018-01-03
49,Krieger - COPERNICUS,RGI60-11.01827,2011-08-21,2018-01-03
50,Krieger - TDMGLOBAL,RGI60-11.01346,2011-08-21,2018-01-03
51,Krieger - TDMGLOBAL,RGI60-11.01450,2011-08-21,2018-01-03
52,Krieger - TDMGLOBAL,RGI60-11.01698,2011-08-21,2018-01-03
53,Krieger - TDMGLOBAL,RGI60-11.01797,2011-08-21,2018-01-03
54,Krieger - TDMGLOBAL,RGI60-11.01827,2011-08-21,2018-01-03
55,Sommer - CTL,RGI60-11.01346,2011-03-21,2018-09-16
56,Sommer - CTL,RGI60-11.01450,2011-03-21,2018-09-16
57,Sommer - CTL,RGI60-11.01698,2011-03-21,2018-09-16
58,Sommer - CTL,RGI60-11.01797,2011-03-21,2018-09-16
59,Sommer - CTL,RGI60-11.01827,2011-03-21,2018-09-16
60,Sommer -  CTL,RGI60-11.01346,2012-01-19,2017-12-12
61,Sommer -  CTL,RGI60-11.01450,2012-01-19,2017-12-12
62,Sommer -  CTL,RGI60-11.01698,2012-01-19,2017-12-12
63,Sommer -  CTL,RGI60-11.01797,2012-01-19,2017-12-12
64,Sommer -  CTL,RGI60-11.01827,2012-01-19,2017-12-12
65,Wendt - CLT,RGI60-11.01450,2013-03-21,2019-01-01
66,Wendt - CLT,RGI60-11.01346,2013-03-21,2019-01-01
67,Wendt - CLT,RGI60-11.01689,2013-03-21,2019-01-01
68,Wendt - CLT,RGI60-11.01797,2013-03-21,2019-01-01
69,Wendt - CLT,RGI60-11.01827,2013-03-21,2019-01-01
70,Validation - Validation,RGI60-11.01346,2011-09-13,2017-09-21
71,Validation - Validation,RGI60-11.01450,2011-09-13,2017-09-21
72,Validation - Validation,RGI60-11.01698,2011-09-13,2017-09-21
73,Validation - Validation,RGI60-11.01797,2011-09-13,2017-09-21
74,Validation - Validation,RGI60-11.01827,2011-09-13,2017-09-21
