,run_id,glacier_id,start_date_str,end_date_str
0,Berthier - SEAS,RGI60-14.06794,2000-01-02,2012-01-10
1,Berthier - SEAS,RGI60-14.06794,2000-01-02,2012-01-10
2,Berthier - SEAS,RGI60-14.06794,2000-01-02,2012-01-10
3,Berthier - CTL,RGI60-14.06794,2012-01-10,2019-01-10
4,Berthier - CTL,RGI60-14.06794,2012-01-10,2019-01-10
5,Berthier - CTL,RGI60-14.06794,2012-01-10,2019-01-10
6,Bolch - NO_GAP,RGI60-14.06794,1970-01-01,1970-01-01
7,Bolch - CTRL,RGI60-14.06794,1970-01-01,1970-01-01
8,Bolch - NO_COREG,RGI60-14.06794,1970-01-01,1970-01-01
9,Bolch - NO_GAP,RGI60-14.06794,1970-01-01,1970-01-01
10,Bolch - CTRL,RGI60-14.06794,1970-01-01,1970-01-01
11,Bolch - NO_COREG,RGI60-14.06794,1970-01-01,1970-01-01
12,Dehecq - CTL,RGI60-14.05944,2000-09-11,2013-10-10
13,Dehecq - CTL,RGI60-14.05963,2000-09-11,2013-10-10
14,Dehecq - CTL,RGI60-14.06629,2000-09-11,2013-10-10
15,Dehecq - CTL,RGI60-14.06794,2000-09-11,2013-10-10
16,Dehecq - CTL,RGI60-14.06796,2000-09-11,2013-10-10
17,Dehecq - CTL,RGI60-14.06797,2000-09-11,2013-10-10
18,Dehecq - CTL,RGI60-14.06798,2000-09-11,2013-10-10
19,Dehecq - CTL,RGI60-14.06799,2000-09-11,2013-10-10
20,Dehecq - CTL,RGI60-14.06800,2000-09-11,2013-10-10
21,Dehecq - CTL,RGI60-14.06801,2000-09-11,2013-10-10
22,Dehecq - CTL,RGI60-14.06802,2000-09-11,2013-10-10
23,Dehecq - CTL,RGI60-14.06803,2000-09-11,2013-10-10
24,Dehecq - CTL,RGI60-14.06804,2000-09-11,2013-10-10
25,Dehecq - CTL,RGI60-14.06805,2000-09-11,2013-10-10
26,Dehecq - CTL,RGI60-14.06806,2000-09-11,2013-10-10
27,Dehecq - CTL,RGI60-14.06807,2000-09-11,2013-10-10
28,Dehecq - CTL,RGI60-14.06808,2000-09-11,2013-10-10
29,Dehecq - CTL,RGI60-14.06809,2000-09-11,2013-10-10
30,Dehecq - CTL,RGI60-14.06810,2000-09-11,2013-10-10
31,Dehecq - CTL,RGI60-14.06811,2000-09-11,2013-10-10
32,Dehecq - CTL,RGI60-14.06812,2000-09-11,2013-10-10
33,Dehecq - CTL,RGI60-14.06813,2000-09-11,2013-10-10
34,Dehecq - CTL,RGI60-14.06816,2000-09-11,2013-10-10
35,Dehecq - CTL,RGI60-14.06817,2000-09-11,2013-10-10
36,Dehecq - CTL,RGI60-14.06818,2000-09-11,2013-10-10
37,Dehecq - CTL,RGI60-14.06819,2000-09-11,2013-10-10
38,Dehecq - CTL,RGI60-14.06820,2000-09-11,2013-10-10
39,Dehecq - CTL,RGI60-14.06821,2000-09-11,2013-10-10
40,Dehecq - CTL,RGI60-14.06822,2000-09-11,2013-10-10
41,Dehecq - CTL,RGI60-14.06823,2000-09-11,2013-10-10
42,Dehecq - CTL,RGI60-14.06824,2000-09-11,2013-10-10
43,Dehecq - CTL,RGI60-14.06825,2000-09-11,2013-10-10
44,Dehecq - CTL,RGI60-14.06826,2000-09-11,2013-10-10
45,Dehecq - CTL,RGI60-14.06827,2000-09-11,2013-10-10
46,Dehecq - CTL,RGI60-14.06828,2000-09-11,2013-10-10
47,Dehecq - CTL,RGI60-14.06829,2000-09-11,2013-10-10
48,Dehecq - CTL,RGI60-14.06830,2000-09-11,2013-10-10
49,Dehecq - CTL,RGI60-14.06831,2000-09-11,2013-10-10
50,Dehecq - CTL,RGI60-14.06832,2000-09-11,2013-10-10
51,Dehecq - CTL,RGI60-14.06833,2000-09-11,2013-10-10
52,Dehecq - CTL,RGI60-14.06834,2000-09-11,2013-10-10
53,Dehecq - CTL,RGI60-14.06835,2000-09-11,2013-10-10
54,Dehecq - CTL,RGI60-14.06836,2000-09-11,2013-10-10
55,Dehecq - CTL,RGI60-14.06837,2000-09-11,2013-10-10
56,Dehecq - CTL,RGI60-14.06838,2000-09-11,2013-10-10
57,Dehecq - CTL,RGI60-14.06839,2000-09-11,2013-10-10
58,Dehecq - CTL,RGI60-14.06840,2000-09-11,2013-10-10
59,Dehecq - CTL,RGI60-14.06841,2000-09-11,2013-10-10
60,Dehecq - CTL,RGI60-14.06842,2000-09-11,2013-10-10
61,Dehecq - CTL,RGI60-14.06843,2000-09-11,2013-10-10
62,Dehecq - CTL,RGI60-14.06844,2000-09-11,2013-10-10
63,Dehecq - CTL,RGI60-14.06845,2000-09-11,2013-10-10
64,Dehecq - CTL,RGI60-14.06846,2000-09-11,2013-10-10
65,Dehecq - CTL,RGI60-14.06847,2000-09-11,2013-10-10
66,Dehecq - CTL,RGI60-14.06848,2000-09-11,2013-10-10
67,Dehecq - CTL,RGI60-14.06849,2000-09-11,2013-10-10
68,Dehecq - CTL,RGI60-14.06850,2000-09-11,2013-10-10
69,Dehecq - CTL,RGI60-14.06851,2000-09-11,2013-10-10
70,Dehecq - CTL,RGI60-14.06852,2000-09-11,2013-10-10
71,Dehecq - CTL,RGI60-14.06853,2000-09-11,2013-10-10
72,Dehecq - CTL,RGI60-14.06854,2000-09-11,2013-10-10
73,Dehecq - CTL,RGI60-14.06855,2000-09-11,2013-10-10
74,Dehecq - CTL,RGI60-14.06864,2000-09-11,2013-10-10
75,Dehecq - CTL,RGI60-14.06888,2000-09-11,2013-10-10
76,Dehecq - CTL,RGI60-14.06922,2000-09-11,2013-10-10
77,Dehecq - CTL,RGI60-14.06957,2000-09-11,2013-10-10
78,Dehecq - CTL,RGI60-14.06958,2000-09-11,2013-10-10
79,Dehecq - CTL,RGI60-14.06959,2000-09-11,2013-10-10
80,Dehecq - CTL,RGI60-14.07004,2000-09-11,2013-10-10
81,Dehecq - CTL,RGI60-14.07005,2000-09-11,2013-10-10
82,Dehecq - CTL,RGI60-14.07006,2000-09-11,2013-10-10
83,Dehecq - CTL,RGI60-14.07087,2000-09-11,2013-10-10
84,Dehecq - CTL,RGI60-14.07343,2000-09-11,2013-10-10
85,Dehecq - CTL,RGI60-14.09954,2000-09-11,2013-10-10
86,Dehecq - CTL,RGI60-14.10058,2000-09-11,2013-10-10
87,Dehecq - CTL,RGI60-14.10059,2000-09-11,2013-10-10
88,Dehecq - CTL,RGI60-14.10060,2000-09-11,2013-10-10
89,Dehecq - CTL,RGI60-14.10061,2000-09-11,2013-10-10
90,Dehecq - CTL,RGI60-14.10062,2000-09-11,2013-10-10
91,Dehecq - CTL,RGI60-14.10063,2000-09-11,2013-10-10
92,Dehecq - CTL,RGI60-14.10064,2000-09-11,2013-10-10
93,Dehecq - CTL,RGI60-14.10065,2000-09-11,2013-10-10
94,Dehecq - CTL,RGI60-14.10066,2000-09-11,2013-10-10
95,Dehecq - CTL,RGI60-14.10067,2000-09-11,2013-10-10
96,Dehecq - CTL,RGI60-14.10068,2000-09-11,2013-10-10
97,Dehecq - CTL,RGI60-14.10069,2000-09-11,2013-10-10
98,Dehecq - CTL,RGI60-14.10070,2000-09-11,2013-10-10
99,Dehecq - CTL,RGI60-14.10071,2000-09-11,2013-10-10
100,Dehecq - CTL,RGI60-14.10072,2000-09-11,2013-10-10
101,Dehecq - CTL,RGI60-14.10073,2000-09-11,2013-10-10
102,Dehecq - CTL,RGI60-14.10074,2000-09-11,2013-10-10
103,Dehecq - CTL,RGI60-14.10075,2000-09-11,2013-10-10
104,Dehecq - CTL,RGI60-14.10076,2000-09-11,2013-10-10
