,run_id,glacier_id,start_date_str,end_date_str
0,Belart -  CLT/SEAS/...,RGI60-11.00897,2010-10-02,2019-09-17
1,Berthier - SEAS,RGI60-11.00897,2010-10-08,2019-09-21
2,Dehecq - CTL,RGI60-11.00897,2009-10-03,2020-09-15
3,Dehecq - CTL,RGI60-11.00897,2010-08-26,2019-09-20
4,Dehecq - CTL,RGI60-11.00897,2001-04-02,2021-07-23
5,Dehecq - CTL,RGI60-11.00897,2010-07-09,2020-09-15
6,Dussaillant - SEAS,RGI60-11.00897,2010-09-30,2019-09-30
7,Dussaillant - CTL,RGI60-11.00897,2010-08-26,2019-09-29
8,Dussaillant - SEAS,RGI60-11.00897,2010-09-30,2019-09-30
9,Florentine - CTL,RGI60-11.00897,2010-08-27,2019-09-21
10,Hugonnet - CTL,RGI60-11.00897,2010-10-01,2019-10-01
11,Krieger - COPERNICUSCROSS,RGI60-11.00897,2011-09-24,2020-09-11
12,Krieger - COPERNICUSSAME,RGI60-11.00897,2011-09-24,2019-02-09
13,Krieger - TDMGLOBALSAME,RGI60-11.00897,2011-09-24,2019-02-09
14,Piermattei - VOID_2,RGI60-11.00897,2009-10-03,2019-09-29
15,Piermattei - VOID_1,RGI60-11.00897,2009-10-03,2019-09-29
16,Piermattei - SEAS,RGI60-11.00897,2010-10-08,2019-09-29
17,Piermattei - TIME_1,RGI60-11.00897,2010-10-08,2019-09-21
18,Piermattei - TIME_2,RGI60-11.00897,2010-10-08,2019-09-21
19,Piermattei - SEAS,RGI60-11.00897,2010-10-01,2019-09-29
20,Piermattei - VOID,RGI60-11.00897,2011-09-24,2020-09-11
21,Piermattei - VOID,RGI60-11.00897,2012-02-16,2019-02-06
22,Sommer - CTL,RGI60-11.00897,2009-10-04,2020-09-16
23,Sommer - CTL,RGI60-11.00897,2011-12-12,2019-01-18
24,Wendt - CLT,RGI60-11.00897,2012-02-16,2019-02-06
25,Validation - Validation,RGI60-08.00897,2010-10-08,2019-09-21
