,run_id,glacier_id,start_date_str,end_date_str
0,Bolch -  CLT1,RGI60-17.15831,2000-02-11,2014-03-24
1,Bolch -  CLT1,RGI60-17.15832,2000-02-11,2014-03-24
2,Bolch -  CLT1,RGI60-17.15833,2000-02-11,2014-03-24
3,Bolch -  CLT1,RGI60-17.15834,2000-02-11,2014-03-24
4,Bolch -  CLT1,RGI60-17.15835,2000-02-11,2014-03-24
5,Bolch -  CLT1,RGI60-17.15836,2000-02-11,2014-03-24
6,Bolch -  CLT1,RGI60-17.15837,2000-02-11,2014-03-24
7,Bolch -  CLT1,RGI60-17.15838,2000-02-11,2014-03-24
8,Bolch -  CLT1,RGI60-17.15839,2000-02-11,2014-03-24
9,Bolch -  CLT1,RGI60-17.15840,2000-02-11,2014-03-24
10,Bolch -  CLT1,RGI60-17.15841,2000-02-11,2014-03-24
11,Bolch -  CLT1,RGI60-17.15842,2000-02-11,2014-03-24
12,Bolch -  CLT1,RGI60-17.15843,2000-02-11,2014-03-24
13,Bolch -  CLT1,RGI60-17.15844,2000-02-11,2014-03-24
14,Bolch -  CLT1,RGI60-17.15845,2000-02-11,2014-03-24
15,Bolch -  CLT1,RGI60-17.15846,2000-02-11,2014-03-24
16,Bolch -  CLT1,RGI60-17.15847,2000-02-11,2014-03-24
17,Bolch -  CLT1,RGI60-17.15848,2000-02-11,2014-03-24
18,Bolch -  CLT1,RGI60-17.15849,2000-02-11,2014-03-24
19,Bolch -  CLT1,RGI60-17.15850,2000-02-11,2014-03-24
20,Bolch -  CLT1,RGI60-17.15851,2000-02-11,2014-03-24
21,Bolch -  CLT1,RGI60-17.15852,2000-02-11,2014-03-24
22,Bolch -  CLT1,RGI60-17.15853,2000-02-11,2014-03-24
23,Bolch -  CLT1,RGI60-17.15854,2000-02-11,2014-03-24
24,Bolch -  CLT1,RGI60-17.15855,2000-02-11,2014-03-24
25,Bolch -  CLT1,RGI60-17.15856,2000-02-11,2014-03-24
26,Bolch -  CLT1,RGI60-17.15857,2000-02-11,2014-03-24
27,Bolch -  CLT1,RGI60-17.15858,2000-02-11,2014-03-24
28,Bolch -  CLT1,RGI60-17.15859,2000-02-11,2014-03-24
29,Bolch -  CLT1,RGI60-17.15860,2000-02-11,2014-03-24
30,Bolch -  CLT1,RGI60-17.15861,2000-02-11,2014-03-24
31,Bolch -  CLT1,RGI60-17.15862,2000-02-11,2014-03-24
32,Bolch -  CLT1,RGI60-17.15863,2000-02-11,2014-03-24
33,Bolch -  CLT1,RGI60-17.15864,2000-02-11,2014-03-24
34,Bolch -  CLT1,RGI60-17.15865,2000-02-11,2014-03-24
35,Bolch -  CLT1,RGI60-17.15866,2000-02-11,2014-03-24
36,Bolch -  CLT1,RGI60-17.15867,2000-02-11,2014-03-24
37,Bolch -  CLT1,RGI60-17.15868,2000-02-11,2014-03-24
38,Bolch -  CLT1,RGI60-17.15869,2000-02-11,2014-03-24
39,Bolch -  CLT1,RGI60-17.15870,2000-02-11,2014-03-24
40,Bolch -  CLT1,RGI60-17.15871,2000-02-11,2014-03-24
41,Bolch -  CLT1,RGI60-17.15872,2000-02-11,2014-03-24
42,Bolch -  CLT1,RGI60-17.15873,2000-02-11,2014-03-24
43,Bolch -  CLT1,RGI60-17.15874,2000-02-11,2014-03-24
44,Bolch -  CLT1,RGI60-17.15875,2000-02-11,2014-03-24
45,Bolch -  CLT1,RGI60-17.15876,2000-02-11,2014-03-24
46,Bolch -  CLT1,RGI60-17.15877,2000-02-11,2014-03-24
47,Bolch -  CLT1,RGI60-17.15886,2000-02-11,2014-03-24
48,Bolch -  CLT1,RGI60-17.15887,2000-02-11,2014-03-24
49,Bolch -  CLT1,RGI60-17.15888,2000-02-11,2014-03-24
50,Bolch -  CLT1,RGI60-17.15889,2000-02-11,2014-03-24
51,Bolch -  CLT1,RGI60-17.15890,2000-02-11,2014-03-24
52,Bolch -  CLT1,RGI60-17.15891,2000-02-11,2014-03-24
53,Bolch -  CLT1,RGI60-17.15892,2000-02-11,2014-03-24
54,Bolch -  CLT1,RGI60-17.15893,2000-02-11,2014-03-24
55,Bolch -  CLT1,RGI60-17.15894,2000-02-11,2014-03-24
56,Bolch -  CLT1,RGI60-17.15895,2000-02-11,2014-03-24
57,Bolch -  CLT1,RGI60-17.15896,2000-02-11,2014-03-24
58,Bolch - CLT2,RGI60-17.15831,2000-02-11,2014-03-24
59,Bolch - CLT2,RGI60-17.15832,2000-02-11,2014-03-24
60,Bolch - CLT2,RGI60-17.15833,2000-02-11,2014-03-24
61,Bolch - CLT2,RGI60-17.15834,2000-02-11,2014-03-24
62,Bolch - CLT2,RGI60-17.15835,2000-02-11,2014-03-24
63,Bolch - CLT2,RGI60-17.15836,2000-02-11,2014-03-24
64,Bolch - CLT2,RGI60-17.15837,2000-02-11,2014-03-24
65,Bolch - CLT2,RGI60-17.15838,2000-02-11,2014-03-24
66,Bolch - CLT2,RGI60-17.15839,2000-02-11,2014-03-24
67,Bolch - CLT2,RGI60-17.15840,2000-02-11,2014-03-24
68,Bolch - CLT2,RGI60-17.15841,2000-02-11,2014-03-24
69,Bolch - CLT2,RGI60-17.15842,2000-02-11,2014-03-24
70,Bolch - CLT2,RGI60-17.15843,2000-02-11,2014-03-24
71,Bolch - CLT2,RGI60-17.15844,2000-02-11,2014-03-24
72,Bolch - CLT2,RGI60-17.15845,2000-02-11,2014-03-24
73,Bolch - CLT2,RGI60-17.15846,2000-02-11,2014-03-24
74,Bolch - CLT2,RGI60-17.15847,2000-02-11,2014-03-24
75,Bolch - CLT2,RGI60-17.15848,2000-02-11,2014-03-24
76,Bolch - CLT2,RGI60-17.15849,2000-02-11,2014-03-24
77,Bolch - CLT2,RGI60-17.15850,2000-02-11,2014-03-24
78,Bolch - CLT2,RGI60-17.15851,2000-02-11,2014-03-24
79,Bolch - CLT2,RGI60-17.15852,2000-02-11,2014-03-24
80,Bolch - CLT2,RGI60-17.15853,2000-02-11,2014-03-24
81,Bolch - CLT2,RGI60-17.15854,2000-02-11,2014-03-24
82,Bolch - CLT2,RGI60-17.15855,2000-02-11,2014-03-24
83,Bolch - CLT2,RGI60-17.15856,2000-02-11,2014-03-24
84,Bolch - CLT2,RGI60-17.15857,2000-02-11,2014-03-24
85,Bolch - CLT2,RGI60-17.15858,2000-02-11,2014-03-24
86,Bolch - CLT2,RGI60-17.15859,2000-02-11,2014-03-24
87,Bolch - CLT2,RGI60-17.15860,2000-02-11,2014-03-24
88,Bolch - CLT2,RGI60-17.15861,2000-02-11,2014-03-24
89,Bolch - CLT2,RGI60-17.15862,2000-02-11,2014-03-24
90,Bolch - CLT2,RGI60-17.15863,2000-02-11,2014-03-24
91,Bolch - CLT2,RGI60-17.15864,2000-02-11,2014-03-24
92,Bolch - CLT2,RGI60-17.15865,2000-02-11,2014-03-24
93,Bolch - CLT2,RGI60-17.15866,2000-02-11,2014-03-24
94,Bolch - CLT2,RGI60-17.15867,2000-02-11,2014-03-24
95,Bolch - CLT2,RGI60-17.15868,2000-02-11,2014-03-24
96,Bolch - CLT2,RGI60-17.15869,2000-02-11,2014-03-24
97,Bolch - CLT2,RGI60-17.15870,2000-02-11,2014-03-24
