,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
0,Belart,Belart - SEAS,RGI60-11.01827,SEAS,19.273,2011-09-16,2017-09-16,-6.414,0.336,-0.124,0.006,2011-09-16,2017-09-16,tab:blue,AST,2011-09-16,2017-09-16,2192 days 00:00:00.000000000,-1.0687561587591239
1,Belart,Belart - SEAS,RGI60-11.01797,SEAS,7.422999999999999,2011-09-16,2017-09-16,-4.553999999999999,0.532,-0.034,0.004,2011-09-16,2017-09-16,tab:blue,AST,2011-09-16,2017-09-16,2192 days 00:00:00.000000000,-0.7588268704379562
2,Belart,Belart - SEAS,RGI60-11.01698,SEAS,9.397,2011-09-16,2017-09-16,-2.612,0.44299999999999995,-0.025,0.004,2011-09-16,2017-09-16,tab:blue,AST,2011-09-16,2017-09-16,2192 days 00:00:00.000000000,-0.43523403284671536
3,Belart,Belart - SEAS,RGI60-11.01450,SEAS,82.152,2011-09-16,2017-09-16,-7.422999999999999,0.18,-0.61,0.015,2011-09-16,2017-09-16,tab:blue,AST,2011-09-16,2017-09-16,2192 days 00:00:00.000000000,-1.2368844662408758
4,Belart,Belart - SEAS,RGI60-11.01346,SEAS,18.83,2011-09-16,2017-09-16,-4.205,0.368,-0.079,0.006999999999999999,2011-09-16,2017-09-16,tab:blue,AST,2011-09-16,2017-09-16,2192 days 00:00:00.000000000,-0.7006734717153285
5,Berthier,Berthier - SEAS,RGI60-11.01450,SEAS,82.2,13/09/2011,21/09/2017,-9.018533655,2.12,-0.741323466,0.1746,2011-09-13,2017-09-21,tab:orange,AST,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-1.4972815534039774
6,Berthier,Berthier - SEAS,RGI60-11.01346,SEAS,18.9,13/09/2011,21/09/2017,-3.1714062010000004,3.78,-0.059939577,0.0714,2011-09-13,2017-09-21,tab:orange,AST,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-0.5265255067796591
7,Berthier,Berthier - SEAS,RGI60-11.01698,SEAS,9.4,13/09/2011,21/09/2017,-4.076475379,2.73,-0.038225517,0.0256,2011-09-13,2017-09-21,tab:orange,AST,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-0.6767875600817045
8,Berthier,Berthier - SEAS,RGI60-11.01797,SEAS,7.4,13/09/2011,21/09/2017,-5.985777251,2.52,-0.044465945,0.0187,2011-09-13,2017-09-21,tab:orange,AST,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-0.9937750640580681
9,Berthier,Berthier - SEAS,RGI60-11.01827,SEAS,19.3,13/09/2011,21/09/2017,-8.613071551,2.85,-0.16602729,0.055,2011-09-13,2017-09-21,tab:orange,AST,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-1.4299656290921594
10,Dehecq,Dehecq - CTL,RGI60-11.01346,CTL,18.842,2012-09-23,2016-09-02,4.285696465761758,1.020324599007132,0.08075109280788302,0.01922495609449238,2012-09-23,2016-09-02,tab:green,AST,2012-09-23,2016-09-02,1440 days 00:00:00.000000000,1.0870490514718625
11,Dehecq,Dehecq - CTL,RGI60-11.01450,CTL,82.206,2012-09-23,2016-09-02,-2.604677780781247,0.4548353735296752,-0.2141201416469032,0.03739019671638048,2012-09-23,2016-09-02,tab:green,AST,2012-09-23,2016-09-02,1440 days 00:00:00.000000000,-0.6606656662710767
12,Dehecq,Dehecq - CTL,RGI60-11.01698,CTL,9.402999999999999,2012-09-23,2016-09-02,-3.1728743093574545,1.1556662072827593,-0.029834537130888145,0.010866729347079784,2012-09-23,2016-09-02,tab:green,AST,2012-09-23,2016-09-02,1440 days 00:00:00.000000000,-0.8047863482588961
13,Dehecq,Dehecq - CTL,RGI60-11.01797,CTL,7.428,2012-09-23,2016-09-02,-2.1729356279158214,1.4689641738387411,-0.016140565844158718,0.01091146588327417,2012-09-23,2016-09-02,tab:green,AST,2012-09-23,2016-09-02,1440 days 00:00:00.000000000,-0.5511560681223984
14,Dehecq,Dehecq - CTL,RGI60-11.01827,CTL,19.285999999999998,2012-09-23,2016-09-02,-8.51798169538821,1.4448751090304788,-0.16427779497725706,0.02786586135276182,2012-09-23,2016-09-02,tab:green,AST,2012-09-23,2016-09-02,1440 days 00:00:00.000000000,-2.1605505654448223
15,Dehecq,Dehecq - CTL,RGI60-11.01346,CTL,18.842,2012-08-22,2016-09-25,-1.7493623930250817,0.4127607456075393,-0.03296148620937859,0.007777237968737255,2012-08-22,2016-09-25,tab:green,AST,2012-08-22,2016-09-25,1495 days 00:00:00.000000000,-0.4273943906705091
