,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
0,Berthier,Berthier - SEAS,RGI60-14.06794,SEAS,808.5267,01/02/2000,01/10/2012,2.64734657,7.77,2.140450386,6.2842,2000-01-02 00:00:00.000000000,2012-01-10 00:00:00.000000000,tab:orange,AST,2000-01-02,2012-01-10,4391 days 00:00:00.000000000,0.22021027890970166,0.6463203142792074
1,Berthier,Berthier - SEAS,RGI60-14.06794,SEAS,808.5267,01/02/2000,01/10/2012,1.488757537,11.13,1.203700218,8.9998,2000-01-02 00:00:00.000000000,2012-01-10 00:00:00.000000000,tab:orange,AST,2000-01-02,2012-01-10,4391 days 00:00:00.000000000,0.12383709642205647,0.9258101799134595
2,Berthier,Berthier - SEAS,RGI60-14.06794,SEAS,808.5267,01/02/2000,01/10/2012,1.016801662,23.72,0.822111292,19.1818,2000-01-02 00:00:00.000000000,2012-01-10 00:00:00.000000000,tab:orange,AST,2000-01-02,2012-01-10,4391 days 00:00:00.000000000,0.08457909520507857,1.9730653609656115
3,Berthier,Berthier - CTL,RGI60-14.06794,CTL,808.2612,01/10/2012,01/10/2019,-1.8885094390000001,4.02,-1.526408905,3.2506,2012-01-10 00:00:00.000000000,2019-01-10 00:00:00.000000000,tab:orange,AST,2012-01-10,2019-01-10,2557 days 00:00:00.000000000,-0.2697606854105397,0.5742295658975362
4,Berthier,Berthier - CTL,RGI60-14.06794,CTL,808.2612,01/10/2012,01/10/2019,-0.37447836100000004,10.41,-0.30267632899999997,8.4125,2012-01-10 00:00:00.000000000,2019-01-10 00:00:00.000000000,tab:orange,AST,2012-01-10,2019-01-10,2557 days 00:00:00.000000000,-0.05349167827737584,1.486997457958545
5,Berthier,Berthier - CTL,RGI60-14.06794,CTL,808.2612,01/10/2012,01/10/2019,1.978918683,23.64,1.599483189,19.1058,2012-01-10 00:00:00.000000000,2019-01-10 00:00:00.000000000,tab:orange,AST,2012-01-10,2019-01-10,2557 days 00:00:00.000000000,0.28267502892676966,3.3768126710989446
6,Bolch,Bolch - NO_GAP,RGI60-14.06794,NO_GAP,809.1089999999999,2012,2019,-0.63,2.6,-7.69e-11,2103.6834,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000002019,blue,AST,1970-01-01,1970-01-01,0 days 00:00:00.000000007,-inf,inf
7,Bolch,Bolch - CTRL,RGI60-14.06794,CTRL,809.1089999999999,2012,2019,-0.513,2.28,-1.2099999999999999e-11,1844.7685199999999,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000002019,blue,AST,1970-01-01,1970-01-01,0 days 00:00:00.000000007,-inf,inf
8,Bolch,Bolch - NO_COREG,RGI60-14.06794,NO_COREG,809.1089999999999,2012,2019,0.00604,2.53,1.46e-11,2047.04577,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000002019,blue,AST,1970-01-01,1970-01-01,0 days 00:00:00.000000007,inf,inf
9,Bolch,Bolch - NO_GAP,RGI60-14.06794,NO_GAP,809.1089999999999,2012,2019,-0.63,2.6,-7.69e-11,2103.6834,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000002019,blue,AST,1970-01-01,1970-01-01,0 days 00:00:00.000000007,-inf,inf
