,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
0,Belart,Belart -  CLT/SEAS/...,RGI60-11.00897, CLT/SEAS/...,8.033,2010-10-02,2019-09-17,-10.710999999999999,0.27,-0.086,0.002,2010-10-02,2019-09-17,tab:blue,AST,2010-10-02,2019-09-17,3272 days 00:00:00.000000000,-1.1956579309290951,0.030139822738386307
1,Berthier,Berthier - SEAS,RGI60-11.00897,SEAS,8.1477,08/10/2010,21/09/2019,-12.11079627,3.46,-0.098675135,0.0282,2010-10-08,2019-09-21,tab:orange,AST,2010-10-08,2019-09-21,3270 days 00:00:00.000000000,-1.3527426108922018,0.38647247706422017
2,Dehecq,Dehecq - CTL,RGI60-11.00897,CTL,8.036,2009-10-03,2020-09-15,-11.212129410480596,1.5780293649509185,-0.09010067194262207,0.01268104397674558,2009-10-03,2020-09-15,tab:green,AST,2009-10-03,2020-09-15,4000 days 00:00:00.000000000,-1.0238075667945095,0.14409380638708075
3,Dehecq,Dehecq - CTL,RGI60-11.00897,CTL,8.036,2010-08-26,2019-09-20,-8.997754092726867,1.2650748709440154,-0.07230595188915309,0.010166141662906109,2010-08-26,2019-09-20,tab:green,AST,2010-08-26,2019-09-20,3312 days 00:00:00.000000000,-0.9922794934687464,0.13951346516071908
4,Dehecq,Dehecq - CTL,RGI60-11.00897,CTL,8.036,2001-04-02,2021-07-23,-13.260945789826364,1.6587193109205243,-0.10656496036704467,0.01332946838255733,2001-04-02,2021-07-23,tab:green,AST,2001-04-02,2021-07-23,7417 days 00:00:00.000000000,-0.653034980414464,0.08168359556609431
5,Dehecq,Dehecq - CTL,RGI60-11.00897,CTL,8.036,2010-07-09,2020-09-15,-12.556454406279382,1.6502453979293392,-0.1009036676088611,0.01326137201776017,2010-07-09,2020-09-15,tab:green,AST,2010-07-09,2020-09-15,3721 days 00:00:00.000000000,-1.2325302262546478,0.1619865981170898
6,Dussaillant,Dussaillant - SEAS,RGI60-11.00897,SEAS,8.0172,2010.09.30,2019.09.30,-13.042,0.613,-0.105,0.005,2010-09-30,2019-09-30,tab:red,AST,2010-09-30,2019-09-30,3287 days 00:00:00.000000000,-1.449221326437481,0.06811629145117128
7,Dussaillant,Dussaillant - CTL,RGI60-11.00897,CTL,8.0172,2010.08.26,2019.09.29,-12.2,0.46,-0.1,0.003,2010-08-26,2019-09-29,tab:red,AST,2010-08-26,2019-09-29,3321 days 00:00:00.000000000,-1.341779584462511,0.050591689250225835
8,Dussaillant,Dussaillant - SEAS,RGI60-11.00897,SEAS,8.0172,2010.09.30,2019.09.30,-13.984000000000002,0.747,-0.11199999999999999,0.006,2010-09-30,2019-09-30,tab:red,AST,2010-09-30,2019-09-30,3287 days 00:00:00.000000000,-1.5538959537572257,0.08300631274718588
9,Florentine,Florentine - CTL,RGI60-11.00897,CTL,8.036,2010-08-27,2019-09-21,-9.22,9.19202607481071,-0.07409192,0.07386712153717888,2010-08-27,2019-09-21,tab:purple,AST,2010-08-27,2019-09-21,3312 days 00:00:00.000000000,-1.0167889492753623,1.0137039625074311
10,Hugonnet,Hugonnet - CTL,RGI60-11.00897,CTL,8.036,2010-10-01,2019-10-01,-12.437999999999995,4.638691625879004,-0.09995176799999997,0.039447412359225185,2010-10-01,2019-10-01,tab:brown,AST,2010-10-01,2019-10-01,3287 days 00:00:00.000000000,-1.382105111043504,0.5154493813058431
11,Krieger,Krieger - COPERNICUSCROSS,RGI60-11.00897,COPERNICUSCROSS,8.033472,2011-09-24,2020-09-11,-5.134513,2.538521,-0.041248,0.019944,2011-09-24,2020-09-11,tab:pink,TDX,2011-09-24,2020-09-11,3275 days 00:00:00.000000000,-0.5726353811450382,0.28311291458015264
12,Krieger,Krieger - COPERNICUSSAME,RGI60-11.00897,COPERNICUSSAME,8.03664,2011-09-24,2019-02-09,-13.698326000000002,1.070056,-0.110089,0.008067,2011-09-24,2019-02-09,tab:pink,TDX,2011-09-24,2019-02-09,2695 days 00:00:00.000000000,-1.8565170951762524,0.14502335955473097
13,Krieger,Krieger - TDMGLOBALSAME,RGI60-11.00897,TDMGLOBALSAME,8.03664,2011-09-24,2019-02-09,-10.608595,0.81582,-0.085257,0.006302,2011-09-24,2019-02-09,tab:pink,TDX,2011-09-24,2019-02-09,2695 days 00:00:00.000000000,-1.437769693413729,0.11056707050092765
14,Piermattei,Piermattei - VOID_2,RGI60-11.00897,VOID_2,8.036,03/10/2009,29/09/2019,-11.956,3.593,-0.096,0.028999999999999998,2009-10-03,2019-09-29,tab:grey,AST,2009-10-03,2019-09-29,3648 days 00:00:00.000000000,-1.1970748355263157,0.35974321546052634
15,Piermattei,Piermattei - VOID_1,RGI60-11.00897,VOID_1,8.036,03/10/2009,29/09/2019,-12.085999999999999,3.593,-0.09699999999999999,0.028999999999999998,2009-10-03,2019-09-29,tab:grey,AST,2009-10-03,2019-09-29,3648 days 00:00:00.000000000,-1.210090871710526,0.35974321546052634
16,Piermattei,Piermattei - SEAS,RGI60-11.00897,SEAS,8.036,08/10/2010,29/09/2019,-11.026,3.593,-0.08900000000000001,0.028999999999999998,2010-10-08,2019-09-29,tab:grey,AST,2010-10-08,2019-09-29,3278 days 00:00:00.000000000,-1.228568181818182,0.400348764490543
17,Piermattei,Piermattei - TIME_1,RGI60-11.00897,TIME_1,8.036,08/10/2010,21/09/2019,-10.035,3.43,-0.081,0.027999999999999997,2010-10-08,2019-09-21,tab:grey,AST,2010-10-08,2019-09-21,3270 days 00:00:00.000000000,-1.120881880733945,0.3831215596330275
18,Piermattei,Piermattei - TIME_2,RGI60-11.00897,TIME_2,8.036,08/10/2010,21/09/2019,-11.41,2.215,-0.092,0.018000000000000002,2010-10-08,2019-09-21,tab:grey,AST,2010-10-08,2019-09-21,3270 days 00:00:00.000000000,-1.2744655963302753,0.24740940366972475
19,Piermattei,Piermattei - SEAS,RGI60-11.00897,SEAS,8.036,01/10/2010,29/09/2019,-9.026,1.8969999999999998,-0.073,0.015,2010-10-01,2019-09-29,tab:grey,TDX,2010-10-01,2019-09-29,3285 days 00:00:00.000000000,-1.003575799086758,0.21092214611872143
20,Piermattei,Piermattei - VOID,RGI60-11.00897,VOID,8.036,24/09/2011,11/09/2020,-3.905,5.926,-0.031,0.048,2011-09-24,2020-09-11,tab:grey,TDX,2011-09-24,2020-09-11,3275 days 00:00:00.000000000,-0.4355118320610687,0.6609073282442748
21,Piermattei,Piermattei - VOID,RGI60-11.00897,VOID,8.036,16/02/2012,06/02/2019,-6.556,1.8969999999999998,-0.053,0.015,2012-02-16,2019-02-06,tab:grey,TDX,2012-02-16,2019-02-06,2547 days 00:00:00.000000000,-0.9401566548881036,0.2720373969375736
22,Sommer,Sommer - CTL,RGI60-11.00897,CTL,8.017000000000001,2009-10-04,2020-09-16,-7.791,1.073,-0.062,0.009000000000000001,2009-10-04,2020-09-16,tab:olive,AST,2009-10-04,2020-09-16,4000 days 00:00:00.000000000,-0.7114156875000001,0.0979783125
23,Sommer,Sommer - CTL,RGI60-11.00897,CTL,8.017000000000001,2011-12-12,2019-01-18,-6.974,1.429,-0.055999999999999994,0.019,2011-12-12,2019-01-18,tab:olive,TDX,2011-12-12,2019-01-18,2594 days 00:00:00.000000000,-0.9819789899768697,0.2012113531225906
24,Wendt,Wendt - CLT,RGI60-11.00897,CLT,8.017999999999999,2012-02-16,2019-02-06,-8.599,0.32799999999999996,-0.068949,0.0031733,2012-02-16,2019-02-06,tab:cyan,TDX,2012-02-16,2019-02-06,2547 days 00:00:00.000000000,-1.2331310365135455,0.047036513545347464
25,Validation,Validation - Validation,RGI60-08.00897,Validation,8.036, 2010-10-08,2019-09-21,-10.614,0.273,-0.085,0.002,2010-10-08,2019-09-21,k,Ref,2010-10-08,2019-09-21,3270 days 00:00:00.000000000,-1.1855545871559634,0.030493348623853216
