,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
0,Bolch,Bolch -  CLT1,RGI60-17.15831, CLT1,28.7712,2000-02-11/22,3/24/2014,-39.80797781,6.273153399,-1.145323291,0.180739113,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-2.821083409992724,0.4445613657323923
1,Bolch,Bolch -  CLT1,RGI60-17.15832, CLT1,1.0242,2000-02-11/22,3/24/2014,-9.519390762999999,9.775661249,-0.00974976,0.010013942,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.6746134024419381,0.6927745966622527
2,Bolch,Bolch -  CLT1,RGI60-17.15833, CLT1,13.3875,2000-02-11/22,3/24/2014,-20.00744504,6.945064557,-0.26784967,0.092987199,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-1.4178733606635623,0.4921778869701688
3,Bolch,Bolch -  CLT1,RGI60-17.15834, CLT1,10.5183,2000-02-11/22,3/24/2014,-13.50232258,7.171476172,-0.14202148,0.075437138,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.9568729767840513,0.5082230639935972
4,Bolch,Bolch -  CLT1,RGI60-17.15835, CLT1,7.6293,2000-02-11/22,3/24/2014,-4.228998829,7.484397659,-0.032264301,0.057101224000000006,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.29969767603652503,0.5303989609914144
5,Bolch,Bolch -  CLT1,RGI60-17.15836, CLT1,41.498999999999995,2000-02-11/22,3/24/2014,-8.971223631,5.974867977000001,-0.372296809,0.247955413,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.6357662846765134,0.42342268696143776
6,Bolch,Bolch -  CLT1,RGI60-17.15837, CLT1,0.4356,2000-02-11/22,3/24/2014,-6.093558109,10.95288762,-0.0026543540000000003,0.004771502,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.4318339346744761,0.7762014363998837
7,Bolch,Bolch -  CLT1,RGI60-17.15838, CLT1,5.1669,2000-02-11/22,3/24/2014,-8.893454413999999,7.882567909,-0.04595159,0.040729666,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.6302549912133294,0.5586162065894935
8,Bolch,Bolch -  CLT1,RGI60-17.15839, CLT1,3.4785,2000-02-11/22,3/24/2014,-10.253646400000001,8.308491528,-0.035667309,0.028903907000000003,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.7266481077997672,0.5888002581688009
9,Bolch,Bolch -  CLT1,RGI60-17.15840, CLT1,66.3435,2000-02-11/22,3/24/2014,-2.356022892,5.6134277070000005,-0.156306805,0.372414769,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.1669649517467986,0.39780839541749136
10,Bolch,Bolch -  CLT1,RGI60-17.15841, CLT1,0.9846,2000-02-11/22,3/24/2014,-0.052178167000000004,9.827063465,-5.14e-05,0.009675727,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.0036977251642898723,0.6964173322839058
11,Bolch,Bolch -  CLT1,RGI60-17.15842, CLT1,0.1143,2000-02-11/22,3/24/2014,3.246735445,13.08600765,0.00037110199999999994,0.0014958839999999998,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,0.23008733435899303,0.9273698669310244
12,Bolch,Bolch -  CLT1,RGI60-17.15843, CLT1,7.6707,2000-02-11/22,3/24/2014,-1.029881927,7.479012579,-0.007899915,0.057369279,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.07298493865672293,0.5300173349786088
13,Bolch,Bolch -  CLT1,RGI60-17.15844, CLT1,49.8753,2000-02-11/22,3/24/2014,-5.755463491,5.830536844,-0.287055468,0.290801472,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.40787408616370785,0.41319433105762515
14,Bolch,Bolch -  CLT1,RGI60-17.15845, CLT1,0.5013,2000-02-11/22,3/24/2014,-3.476462293,10.75014504,-0.001742751,0.005389284,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.24636745295270662,0.7618336196856811
15,Bolch,Bolch -  CLT1,RGI60-17.15846, CLT1,0.5895,2000-02-11/22,3/24/2014,2.593045603,10.52090191,0.0015286,0.006202106999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,0.18376210836161233,0.7455877808745633
16,Bolch,Bolch -  CLT1,RGI60-17.15847, CLT1,0.639,2000-02-11/22,3/24/2014,2.435922659,10.40868113,0.001556555,0.0066512080000000005,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,0.17262723150945866,0.7376349985899301
17,Bolch,Bolch -  CLT1,RGI60-17.15848, CLT1,0.0666,2000-02-11/22,3/24/2014,-1.47588802,14.06064508,-9.83e-05,0.0009364519999999999,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.10459218069557626,0.9964397779336438
18,Bolch,Bolch -  CLT1,RGI60-17.15849, CLT1,0.1647,2000-02-11/22,3/24/2014,-2.4716391769999997,12.46542442,-0.000407079,0.002053174,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.1751583642606228,0.883390816725844
19,Bolch,Bolch -  CLT1,RGI60-17.15850, CLT1,2.2932,2000-02-11/22,3/24/2014,-7.797844532,8.781901088,-0.017882017,0.020139786,2000-02-11 22:00:00,2014-03-24 00:00:00,blue,AST,2000-02-11,2014-03-24,5154 days 02:00:00.000000000,-0.5526120906699651,0.6223495095832363
