,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
0,Dehecq,Dehecq - CTL,RGI60-08.00287,CTL,41.235,2009-08-08,2021-08-25,-18.66623796299506,3.078452234852401,-0.7697023224041012,0.12693997790413875,2009-08-08,2021-08-25,tab:green,AST,2009-08-08,2021-08-25,4400 days 00:00:00.000000000,-1.5495098672690784
1,Dehecq,Dehecq - CTL,RGI60-08.01641,CTL,15.914000000000001,2009-08-08,2021-08-25,-17.96022690383855,4.876769590969124,-0.2858190509476867,0.07760891127068263,2009-08-08,2021-08-25,tab:green,AST,2009-08-08,2021-08-25,4400 days 00:00:00.000000000,-1.490902926506143
2,Dehecq,Dehecq - CTL,RGI60-08.01657,CTL,36.049,2009-08-08,2021-08-25,-18.04014150331113,3.299387514431336,-0.6503290610528628,0.1189396205077352,2009-08-08,2021-08-25,tab:green,AST,2009-08-08,2021-08-25,4400 days 00:00:00.000000000,-1.497536746382816
3,Dehecq,Dehecq - CTL,RGI60-08.00287,CTL,41.235,2000-06-28,2021-07-01,-9.007547813791152,1.0232977458705683,-0.3714262341016781,0.042195682550972884,2000-06-28,2021-07-01,tab:green,AST,2000-06-28,2021-07-01,7673 days 00:00:00.000000000,-0.42877711963863135
4,Dehecq,Dehecq - CTL,RGI60-08.01641,CTL,15.914000000000001,2000-06-28,2021-07-01,-7.931734190822582,1.379313592515696,-0.12622561791275058,0.021950396511294785,2000-06-28,2021-07-01,tab:green,AST,2000-06-28,2021-07-01,7673 days 00:00:00.000000000,-0.37756626002840454
5,Dehecq,Dehecq - CTL,RGI60-08.01657,CTL,36.049,2000-06-28,2021-07-01,-11.14440078619388,0.9181572448916244,-0.4017445039415032,0.03309865052109817,2000-06-28,2021-07-01,tab:green,AST,2000-06-28,2021-07-01,7673 days 00:00:00.000000000,-0.5304955541714212
6,Dehecq,Dehecq - CTL,RGI60-08.00287,CTL,41.235,2008-03-21,2021-07-01,15.186132082209499,2.7838462876332235,0.6262001564099087,0.11479190167055595,2008-03-21,2021-07-01,tab:green,AST,2008-03-21,2021-07-01,4850 days 00:00:00.000000000,1.1436566480468082
7,Dehecq,Dehecq - CTL,RGI60-08.01641,CTL,15.914000000000001,2008-03-21,2021-07-01,13.418943932970016,3.953018064282279,0.21354907374928486,0.06290832947498819,2008-03-21,2021-07-01,tab:green,AST,2008-03-21,2021-07-01,4850 days 00:00:00.000000000,1.0105709838179997
8,Dehecq,Dehecq - CTL,RGI60-08.01657,CTL,36.049,2008-03-21,2021-07-01,14.388202468318626,2.907734698257447,0.5186803107804182,0.10482092813748273,2008-03-21,2021-07-01,tab:green,AST,2008-03-21,2021-07-01,4850 days 00:00:00.000000000,1.083565144650181
9,Florentine,Florentine - CTL,RGI60-08.00287,CTL,41.235,2011-03-20,2021-01-01,-0.6099999999999999,2.7225906780123963,-0.025153349999999998,0.11226602660784116,2011-03-20,2021-01-01,tab:purple,both,2011-03-20,2021-01-01,3575 days 00:00:00.000000000,-0.062322377622377606
